token,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,bias
A win Y,-0.063278,0.023594,-0.021075,0.023597,0.021627,-0.003107,-0.008644,-0.006589,0.004288,-0.001324,0.000013,0.039625,0.017136,-0.024501,-0.025467,-0.030088,-0.001164,-0.011456,-0.046742,0.029120,-0.001062,-0.034936,0.050427,-0.027104,0.433318
B win Y,0.044274,-0.023885,0.037621,-0.011332,0.003152,-0.014285,-0.013908,-0.022265,0.011860,0.030768,0.022857,-0.004162,-0.011331,0.027973,-0.021341,0.017180,0.000298,-0.025559,0.066112,-0.040930,-0.031305,-0.023329,-0.047725,0.042166,0.296156
Draw Y,0.019004,0.000291,-0.016546,-0.012265,-0.024779,0.017392,0.022552,0.028854,-0.016148,-0.029444,-0.022870,-0.035464,-0.005805,-0.003472,0.046808,0.012907,0.000867,0.037015,-0.019370,0.011810,0.032367,0.058265,-0.002702,-0.015062,0.270527
A -1.5 Y,-0.046021,0.017241,-0.000087,0.003097,0.008880,0.001310,-0.008334,-0.010962,0.010029,-0.002620,-0.019978,0.005475,0.003628,-0.002880,-0.009063,-0.005058,0.023783,0.039946,-0.006805,0.062634,-0.020145,0.020034,0.064690,-0.040204,0.214998
B -1.5 Y,0.027465,-0.009049,0.026817,0.001639,0.004267,-0.004699,-0.010037,-0.007835,0.017843,0.010061,0.015789,0.000406,-0.009671,0.008661,-0.027456,0.013680,-0.013403,-0.001522,0.055560,-0.022677,0.018108,0.001843,0.028265,0.024255,0.117228
A -2.5 Y,-0.028692,0.012039,0.010223,0.005263,0.008776,0.000942,-0.001932,-0.003440,0.002499,-0.010523,-0.014877,-0.003450,0.009437,0.010696,-0.019488,0.021981,0.033616,-0.003035,-0.004377,0.051605,-0.044510,0.017470,-0.001664,-0.083196,0.098244
B -2.5 Y,0.011709,-0.002442,0.011885,0.003025,-0.000495,-0.004006,-0.008128,-0.003261,0.006580,0.006670,-0.000479,0.003770,-0.003171,0.000346,-0.007950,0.001943,-0.000638,0.010327,0.046301,-0.033206,0.030746,0.020322,0.037589,0.002073,0.039393
O 1.5 Y,-0.017681,-0.011786,0.031844,0.002279,0.004775,-0.004545,0.008691,-0.045772,-0.008141,0.044490,-0.000726,-0.002872,-0.000769,0.022484,-0.023328,0.016809,-0.006422,0.012771,0.049287,-0.016876,-0.039232,-0.004605,0.059818,-0.068565,0.734219
O 2.5 Y,-0.022217,-0.001871,0.045767,0.005735,0.009681,0.000005,-0.000367,-0.018509,-0.022069,0.029062,0.009029,0.017195,0.012807,0.019907,-0.040215,0.013563,0.038236,-0.036228,0.013506,-0.059866,-0.034912,-0.000144,-0.018881,0.020378,0.495966
O 3.5 Y,-0.014594,0.000125,0.037681,-0.003145,0.010765,0.001017,0.002711,-0.004165,-0.020937,0.009252,-0.004440,0.012930,0.012336,0.007873,-0.017075,0.013385,0.018086,-0.001701,0.037289,-0.008859,-0.015358,0.006572,-0.017805,0.070383,0.276222
O 4.5 Y,-0.010273,-0.001256,0.024597,-0.000618,0.009942,0.011534,0.008430,-0.000046,-0.012656,-0.000116,-0.012602,-0.002741,0.009931,0.015965,-0.007679,0.000746,-0.014798,-0.034254,0.029479,-0.011192,-0.021280,0.021097,-0.090643,-0.041336,0.132890
BTTS Y,-0.004165,-0.018837,0.026806,-0.002754,-0.000150,0.006100,0.021144,-0.031443,-0.032985,0.045311,0.011726,-0.007208,0.004174,0.017513,0.001161,0.008942,-0.040998,-0.030040,0.019233,-0.057262,-0.035138,-0.040288,-0.023982,-0.001412,0.526341
A win N,0.063278,-0.023594,0.021075,-0.023597,-0.021627,0.003107,0.008644,0.006589,-0.004288,0.001324,-0.000013,-0.039625,-0.017136,0.024501,0.025467,0.030088,0.001164,0.011456,0.046742,-0.029120,0.001062,0.034936,-0.050427,0.027104,0.566682
