token,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,bias
A win Y,-0.016658,-0.454235,-0.024486,0.000024,0.060156,-0.079411,0.110385,-0.205203,0.172577,-0.010703,-0.156616,0.121378,-0.042884,0.019084,0.385958,0.087334,-0.170714,-0.032993,0.008462,0.057278,0.364647,0.503054,-0.045636,-0.143724,0.063841
B win Y,0.000239,0.343415,0.008222,0.036362,-0.219776,0.084819,-0.100237,0.192389,-0.170974,-0.092514,0.032454,0.246062,0.034762,0.010113,0.327288,-0.064440,0.157135,-0.134562,-0.333243,-0.274419,0.008059,-0.727996,-0.137862,0.710491,0.604621
Draw Y,0.016419,0.110820,0.016264,-0.036387,0.159620,-0.005408,-0.010148,0.012813,-0.001603,0.103217,0.124162,-0.367439,0.008122,-0.029198,-0.713246,-0.022893,0.013579,0.167555,0.324781,0.217141,-0.372706,0.224942,0.183498,-0.566767,0.331538
A -1.5 Y,-0.010678,-0.319184,-0.026989,-0.015579,-0.042448,-0.041637,-0.006116,-0.102788,-0.077162,0.022485,-0.131266,0.003132,0.073872,0.043963,0.163824,-0.130381,0.144329,0.270785,0.165501,0.395162,0.619036,0.319260,0.481228,-0.315979,0.098272
B -1.5 Y,0.030339,0.199573,0.015715,0.035376,-0.152101,0.033103,-0.071480,0.087991,-0.084934,-0.055748,0.062603,0.170384,0.045995,0.137478,0.230070,-0.170023,0.102744,0.076561,-0.308768,-0.278536,-0.143567,-0.091074,0.380236,0.490562,0.205060
A -2.5 Y,0.007593,-0.196852,-0.028353,0.002745,-0.096288,-0.002225,-0.037341,-0.012187,-0.057171,0.021526,-0.127717,-0.058989,0.035948,0.175838,0.158441,0.125596,0.247781,0.227615,0.038525,0.534170,0.431067,-0.149247,0.156287,-0.565388,0.773664
B -2.5 Y,0.019686,0.082808,0.010911,0.008190,-0.069078,0.003164,-0.026475,0.021761,-0.035838,-0.052868,-0.011402,0.071945,0.038208,0.022831,0.072805,-0.152605,0.161974,0.055454,-0.050603,-0.356507,-0.214576,-0.006795,0.525777,0.204636,-0.075088
O 1.5 Y,-0.051650,-0.063391,-0.023005,0.063247,-0.273796,0.068346,-0.016335,0.076664,-0.241638,0.007027,-0.142151,0.057316,-0.087520,-0.208832,0.523813,-0.135961,0.485629,-0.022978,-0.369472,-0.143957,0.297494,0.227721,0.314253,-0.225164,0.624113
O 2.5 Y,-0.013229,-0.105076,-0.039193,0.008609,-0.390993,0.047699,-0.086731,0.058574,-0.070113,-0.016939,-0.157366,0.040601,-0.152354,0.015032,0.529555,0.172133,0.458303,-0.261271,0.041633,-0.208800,0.095556,-0.093464,-0.145648,0.356097,0.260698
O 3.5 Y,-0.003708,-0.063397,-0.045310,-0.008543,-0.305310,0.033722,-0.100506,-0.003865,-0.036667,0.031610,-0.159792,-0.042245,-0.079407,0.042366,0.224890,-0.011832,0.316567,0.105088,-0.027752,0.043811,0.075236,-0.126628,0.071813,0.694606,0.076944
O 4.5 Y,-0.006051,-0.048065,-0.014211,0.005699,-0.191420,0.020982,-0.092208,0.048190,-0.053600,0.086884,-0.146651,-0.122843,-0.046928,0.046980,0.155189,0.083585,0.080267,-0.014588,-0.232556,0.200800,-0.543213,-0.596839,-0.124201,0.052876,0.854738
BTTS Y,-0.061945,0.034358,-0.014149,0.035627,-0.240721,0.088633,0.002442,0.098325,-0.144504,0.087843,-0.088151,-0.039731,-0.229990,-0.328174,0.304112,0.084110,0.222827,-0.326503,-0.524460,-0.287351,-0.225576,0.129643,-0.526094,0.166594,0.320426
A win N,0.016658,0.454235,0.024486,-0.000024,-0.060156,0.079411,-0.110385,0.205203,-0.172577,0.010703,0.156616,-0.121378,0.042884,-0.019084,-0.385958,-0.087334,0.170714,0.032993,-0.008462,-0.057278,-0.364647,-0.503054,0.045636,0.143724,0.936159
B win N,-0.000239,-0.343415,-0.008222,-0.036362,0.219776,-0.084819,0.100237,-0.192389,0.170974,0.092514,-0.032454,-0.246062,-0.034762,-0.010113,-0.327288,0.064440,-0.157135,0.134562,0.333243,0.274419,-0.008059,0.727996,0.137862,-0.710491,0.395379
Draw N,-0.016419,-0.110820,-0.016264,0.036387,-0.159620,0.005408,0.010148,-0.012813,0.001603,-0.103217,-0.124162,0.367439,-0.008122,0.029198,0.713246,0.022893,-0.013579,-0.167555,-0.324781,-0.217141,0.372706,-0.224942,-0.183498,0.566767,0.668462
A -1.5 N,0.010678,0.319184,0.026989,0.015579,0.042448,0.041637,0.006116,0.102788,0.077162,-0.022485,0.131266,-0.003132,-0.073872,-0.043963,-0.163824,0.130381,-0.144329,-0.270785,-0.165501,-0.395162,-0.619036,-0.319260,-0.481228,0.315979,0.901728
B -1.5 N,-0.030339,-0.199573,-0.015715,-0.035376,0.152101,-0.033103,0.071480,-0.087991,0.084934,0.055748,-0.062603,-0.170384,-0.045995,-0.137478,-0.230070,0.170023,-0.102744,-0.076561,0.308768,0.278536,0.143567,0.091074,-0.380236,-0.490562,0.794940
A -2.5 N,-0.007593,0.196852,0.028353,-0.002745,0.096288,0.002225,0.037341,0.012187,0.057171,-0.021526,0.127717,0.058989,-0.035948,-0.175838,-0.158441,-0.125596,-0.247781,-0.227615,-0.038525,-0.534170,-0.431067,0.149247,-0.156287,0.565388,0.226336
B -2.5 N,-0.019686,-0.082808,-0.010911,-0.008190,0.069078,-0.003164,0.026475,-0.021761,0.035838,0.052868,0.011402,-0.071945,-0.038208,-0.022831,-0.072805,0.152605,-0.161974,-0.055454,0.050603,0.356507,0.214576,0.006795,-0.525777,-0.204636,1.075088
O 1.5 N,0.051650,0.063391,0.023005,-0.063247,0.273796,-0.068346,0.016335,-0.076664,0.241638,-0.007027,0.142151,-0.057316,0.087520,0.208832,-0.523813,0.135961,-0.485629,0.022978,0.369472,0.143957,-0.297494,-0.227721,-0.314253,0.225164,0.375887
O 2.5 N,0.013229,0.105076,0.039193,-0.008609,0.390993,-0.047699,0.086731,-0.058574,0.070113,0.016939,0.157366,-0.040601,0.152354,-0.015032,-0.529555,-0.172133,-0.458303,0.261271,-0.041633,0.208800,-0.095556,0.093464,0.145648,-0.356097,0.739302
O 3.5 N,0.003708,0.063397,0.045310,0.008543,0.305310,-0.033722,0.100506,0.003865,0.036667,-0.031610,0.159792,0.042245,0.079407,-0.042366,-0.224890,0.011832,-0.316567,-0.105088,0.027752,-0.043811,-0.075236,0.126628,-0.071813,-0.694606,0.923056
O 4.5 N,0.006051,0.048065,0.014211,-0.005699,0.191420,-0.020982,0.092208,-0.048190,0.053600,-0.086884,0.146651,0.122843,0.046928,-0.046980,-0.155189,-0.083585,-0.080267,0.014588,0.232556,-0.200800,0.543213,0.596839,0.124201,-0.052876,0.145262
BTTS N,0.061945,-0.034358,0.014149,-0.035627,0.240721,-0.088633,-0.002442,-0.098325,0.144504,-0.087843,0.088151,0.039731,0.229990,0.328174,-0.304112,-0.084110,-0.222827,0.326503,0.524460,0.287351,0.225576,-0.129643,0.526094,-0.166594,0.679574
