token,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,bias
A win Y,-0.058944,0.021632,-0.018764,0.016256,0.014395,-0.001960,-0.005238,-0.003895,0.002492,-0.000720,0.000007,0.021102,0.008248,-0.011170,-0.009030,-0.009901,-0.000236,-0.002059,-0.007713,0.003892,-0.000127,-0.003743,0.003589,-0.001180,0.433318
B win Y,0.041242,-0.021899,0.033495,-0.007807,0.002098,-0.009011,-0.008428,-0.013162,0.006892,0.016728,0.012347,-0.002216,-0.005454,0.012754,-0.007567,0.005654,0.000060,-0.004593,0.010909,-0.005471,-0.003753,-0.002500,-0.003397,0.001836,0.296156
Draw Y,0.017702,0.000267,-0.014731,-0.008449,-0.016493,0.010971,0.013666,0.017057,-0.009384,-0.016008,-0.012354,-0.018885,-0.002794,-0.001583,0.016597,0.004248,0.000176,0.006652,-0.003196,0.001579,0.003880,0.006243,-0.000192,-0.000656,0.270527
A -1.5 Y,-0.042869,0.015807,-0.000077,0.002134,0.005910,0.000827,-0.005051,-0.006480,0.005828,-0.001424,-0.010792,0.002916,0.001746,-0.001313,-0.003213,-0.001664,0.004830,0.007178,-0.001123,0.008372,-0.002415,0.002147,0.004604,-0.001750,0.214998
B -1.5 Y,0.025584,-0.008297,0.023876,0.001129,0.002840,-0.002964,-0.006082,-0.004632,0.010369,0.005470,0.008529,0.000216,-0.004655,0.003949,-0.009735,0.004502,-0.002722,-0.000273,0.009168,-0.003031,0.002171,0.000197,0.002012,0.001056,0.117228
A -2.5 Y,-0.026727,0.011038,0.009102,0.003626,0.005841,0.000594,-0.001171,-0.002033,0.001453,-0.005721,-0.008036,-0.001837,0.004542,0.004877,-0.006910,0.007234,0.006828,-0.000545,-0.000722,0.006898,-0.005336,0.001872,-0.000118,-0.003622,0.098244
B -2.5 Y,0.010907,-0.002239,0.010581,0.002084,-0.000329,-0.002527,-0.004926,-0.001928,0.003824,0.003626,-0.000259,0.002007,-0.001526,0.000158,-0.002819,0.000639,-0.000130,0.001856,0.007640,-0.004438,0.003686,0.002178,0.002675,0.000090,0.039393
O 1.5 Y,-0.016470,-0.010806,0.028352,0.001570,0.003178,-0.002867,0.005267,-0.027058,-0.004731,0.024189,-0.000392,-0.001529,-0.000370,0.010251,-0.008271,0.005532,-0.001304,0.002295,0.008132,-0.002256,-0.004703,-0.000493,0.004257,-0.002985,0.734219
O 2.5 Y,-0.020695,-0.001716,0.040747,0.003951,0.006443,0.000003,-0.000222,-0.010942,-0.012825,0.015801,0.004877,0.009157,0.006164,0.009076,-0.014259,0.004463,0.007766,-0.006510,0.002228,-0.008002,-0.004185,-0.000015,-0.001344,0.000887,0.495966
O 3.5 Y,-0.013595,0.000114,0.033549,-0.002166,0.007165,0.000642,0.001643,-0.002462,-0.012167,0.005030,-0.002399,0.006886,0.005938,0.003590,-0.006054,0.004405,0.003673,-0.000306,0.006153,-0.001184,-0.001841,0.000704,-0.001267,0.003064,0.276222
