token,A win Y,B win Y,Draw Y,A -1.5 Y,B -1.5 Y,A -2.5 Y,B -2.5 Y,O 1.5 Y,O 2.5 Y,O 3.5 Y,O 4.5 Y,BTTS Y,A win N,B win N,Draw N,A -1.5 N,B -1.5 N,A -2.5 N,B -2.5 N,O 1.5 N,O 2.5 N,O 3.5 N,O 4.5 N,BTTS N,bias
A win Y,0.027538,-0.019780,-0.002748,0.012428,-0.001628,0.013363,0.011738,-0.005398,-0.007359,0.000885,0.002878,-0.020581,-0.026679,0.024720,0.019606,-0.024911,0.022578,-0.021045,0.019803,-0.010483,-0.009025,-0.002401,0.000034,-0.003642,0.433318
B win Y,-0.018384,0.023299,0.003593,-0.009607,0.003462,-0.005524,-0.008660,0.007455,0.007621,0.002717,-0.000644,0.008775,0.021613,-0.023215,0.002736,0.017051,-0.025557,0.012506,-0.024319,0.000184,-0.001765,-0.005127,-0.005773,-0.003806,0.296156
Draw Y,-0.009154,-0.003519,-0.000845,-0.002821,-0.001833,-0.007839,-0.003078,-0.002057,-0.000262,-0.003601,-0.002234,0.011807,0.005067,-0.001505,-0.022342,0.007860,0.002979,0.008539,0.004516,0.010299,0.010790,0.007528,0.005738,0.007448,0.270527
A -1.5 Y,0.018873,-0.012147,-0.002696,0.007861,-0.002918,0.003474,0.001492,0.004815,0.003706,0.003502,0.001036,-0.005307,-0.017762,0.016318,0.013817,-0.018184,0.012812,-0.017110,0.009940,-0.005336,-0.007273,-0.006652,-0.006539,-0.001483,0.214998
B -1.5 Y,-0.010550,0.015083,0.002177,-0.002655,0.006089,0.002299,0.000582,0.005540,0.005158,0.004168,0.002757,0.004344,0.013137,-0.014587,0.004603,0.010476,-0.015494,0.007453,-0.015141,-0.000749,-0.002426,-0.003450,-0.003721,-0.002910,0.117228
A -2.5 Y,0.011939,-0.004832,-0.001815,0.006254,0.000541,0.004915,0.002903,0.006204,0.004998,0.004812,0.002426,-0.003001,-0.010223,0.008273,0.013323,-0.011423,0.005261,-0.011614,0.002971,-0.004999,-0.007345,-0.006980,-0.006949,-0.002534,0.098244
B -2.5 Y,-0.004960,0.005718,0.000001,-0.000256,0.003562,0.002196,0.002260,0.002887,0.002568,0.002203,0.001825,0.002629,0.005423,-0.006307,0.000686,0.004617,-0.006078,0.003369,-0.005884,-0.000241,-0.001266,-0.001691,-0.001901,-0.001293,0.039393
O 1.5 Y,0.001548,0.002657,-0.006713,-0.001378,-0.001350,-0.000128,-0.001467,0.010259,0.007964,0.002816,-0.001758,-0.000262,-0.002542,-0.003992,0.011529,-0.005885,-0.007978,-0.007595,-0.008512,-0.010437,-0.014207,-0.015400,-0.014945,-0.009920,0.734219
O 2.5 Y,0.005139,0.005014,-0.005798,0.003170,0.002720,0.004681,0.001722,0.016498,0.013713,0.008529,0.002275,0.001599,-0.003570,-0.003380,0.019910,-0.008175,-0.008902,-0.011205,-0.011052,-0.011149,-0.017136,-0.018850,-0.018978,-0.010115,0.495966
O 3.5 Y,0.004922,0.006469,-0.001463,0.001796,0.001265,0.000996,-0.003288,0.014132,0.012603,0.007677,0.001664,0.002932,-0.001436,-0.002500,0.018153,-0.005931,-0.008232,-0.008961,-0.010526,-0.006650,-0.011472,-0.013887,-0.014474,-0.005909,0.276222
